grade,sub_grade,short_emp,emp_length_num,home_ownership,dti,purpose,term,last_delinq_none,last_major_derog_none,revol_util,total_rec_late_fee,safe_loans
C,C4,1,1,RENT,1.0,car, 60 months,1,1,9.4,0.0,-1
F,F2,0,5,OWN,5.55,small_business, 60 months,1,1,32.6,0.0,-1
B,B5,1,1,RENT,18.08,other, 60 months,1,1,36.5,0.0,-1
C,C1,1,1,RENT,10.08,debt_consolidation, 36 months,1,1,91.7,0.0,-1
B,B2,0,4,RENT,7.06,other, 36 months,1,1,55.5,0.0,-1
B,B4,0,11,RENT,13.22,debt_consolidation, 36 months,1,1,90.3,0.0,-1
B,B3,0,2,RENT,2.4,major_purchase, 36 months,1,1,29.7,0.0,-1
C,C2,0,10,RENT,15.22,debt_consolidation, 36 months,1,1,57.6,0.0,-1
B,B1,0,9,MORTGAGE,9.12,debt_consolidation, 36 months,1,1,63.7,24.17,-1
C,C5,0,5,RENT,20.88,car, 36 months,1,1,90.8,0.0,-1
E,E4,0,8,RENT,21.58,debt_consolidation, 60 months,1,1,97.6,0.0,-1
D,D3,0,6,RENT,13.16,debt_consolidation, 60 months,1,1,70.8,0.0,-1
D,D2,0,6,RENT,20.22,debt_consolidation, 36 months,0,1,67.5,0.0,-1
D,D3,0,8,MORTGAGE,21.31,credit_card, 60 months,1,1,86.1,0.0,-1
B,B1,0,3,RENT,20.64,debt_consolidation, 36 months,1,1,47.7,0.0,-1
D,D5,0,2,RENT,24.14,credit_card, 36 months,0,1,96.3,36.247,-1
B,B2,0,5,RENT,22.8,debt_consolidation, 36 months,0,1,54.2,0.0,-1
E,E4,0,11,RENT,20.7,debt_consolidation, 60 months,1,1,87.6,0.0,-1
C,C5,0,9,MORTGAGE,9.17,home_improvement, 36 months,1,1,71.2,0.0,-1
A,A2,0,11,RENT,29.85,credit_card, 36 months,1,1,62.3,0.0,-1
B,B3,0,9,RENT,22.08,debt_consolidation, 36 months,1,1,29.3,0.0,-1
